,Source,Target,Predicted,jaccard_tar_pre,jaccard_src_tar
137,Frequent literary references to George Sand can be found in by A. S. Byatt .,Frequent literary references to George Sand can be found in by A. S. Byatt .,   rebels literary references to straddles parma can be found in by afarensis qt rebels .,0.45,1.0
138,"In 1986 , Sundquist left the band to spend time with his family , and was replaced by Matt Cameron , the drummer for Skin Yard .","In 1986 , Sundquist left the band and was replaced by Matt Cameron , who was the drummer for Skin Yard .","   centennial 1986 , enlisted left the band to spend time with his family , and was replaced by breeze dissolved , the drummer for folliculitis necessity .",0.3870967741935484,0.72
139,"Poplar Forest was Thomas Jefferson 's plantation and plantation house in what is now Forest , Virginia , near Lynchburg , which he treated as a private retreat and upon which he lavished attention from 1806 until his death 20 years later .","The Poplar Forest is the retreat home of Thomas Jefferson , third president of the United States of America near Lynchburg , Virginia .","   depot toenails was thirty-five outrages 's plantation and plantation house in what is now toenails , cosmologist , near megachurch , which he treated as a private retreat and upon which he rebels attention from 1806 until his death 20 years later .",0.09803921568627451,0.24444444444444444
140,"Warrabah is a national park in New South Wales , 371 km north of Sydney .","Warrabah is a national park in New South Wales , 371 km north of Sydney .","   rebels is a national park in gown badger congresses , 371 km north of emplacements .",0.5238095238095238,1.0
141,"Lockport is a city in Will County , Illinois , United States that incorporated in 1853 .",Lockport is a city of Illinois in the United States .,"   rebels is a city in likens city-county , end-to-end , grassroots grassroots that incorporated in 1853 .",0.25,0.5294117647058824
142,"Covasna is a county of Romania , in Transylvania , with the capital city at Sfântu Gheorghe .","Covasna is a county of Romania , in Transylvania . The capital of Covasna County is Sfântu Gheorghe .","   rebels is a county of din , in 1462 , with the capital city at rebels rebels .",0.36363636363636365,0.6842105263157895
143,"In these spaces , certain monks briefly noted the important events of the year .",In these spaces some monks wrote down the important events of the year .,"   centennial these spaces , certain monks briefly noted the important events of the year .",0.5,0.5882352941176471
144,Kidman was then pinned and eliminated by Rey Mysterio with a Modified Powerbomb from the top rope .,Kidman was then pinned and eliminated by Rey Mysterio .,   belts was then pinned and eliminated by resumed resumed with a 15.6 aerial from the top rope .,0.35,0.5555555555555556
145,"In 1991 , the government reorganized the administrative regions into nine federal states , matching the nine provinces that had existed from 1948 to 1973 .","In 1991 , the government reorganized the administrative regions into nine federal states , matching the nine provinces that had existed from 1948 to 1973 .","   centennial 1991 , the government reorganized the administrative regions into nine federal states , matching the nine provinces that had existed from 1948 to 1973 .",0.9130434782608695,1.0
146,Philippe Noiret was a French film actor .,Philippe Noiret was a well-known French actor .,   voleur rebels was a french film actor .,0.3333333333333333,0.7777777777777778
147,The Pakistan Peoples Party : is a centre-left political party in Pakistan affiliated with Socialist International .,The Pakistan Peoples Party : is a centre-left Islamic Socialist political party in Pakistan affiliated to the Socialist International .,   7.5-9 squamata complying detrimental : is a member-parties political party in squamata affiliated with republics 5th-6th .,0.3076923076923077,0.7894736842105263
148,The Armenian legion was established under the goals of the Armenian national liberation movement and was an armed unit besides the Armenian volunteer units and Armenian militia during World War I which fought against the Ottoman Empire .,The Armenian legion was made for the goals of the Armenian national liberation movement and was an armed unit besides the Armenian volunteer units and Armenian militia during World War I which fought against the Ottoman Empire .,   7.5-9 highland legion was established under the goals of the highland national liberation movement and was an armed unit besides the highland volunteer units and highland militia during 432 retreated šāh which fought against the pledged 636 .,0.5384615384615384,0.875
149,"Courbet was allowed to pay the fine in yearly installments of 10,000 francs for the next 33 years , until his 91st birthday .","The government decided to make terms so that Courbet could pay for the column in yearly payments of 10,000 francs for 33 years .","   aggravated was allowed to pay the fine in yearly rebels of 10,000 francs for the next 33 years , until his 91st birthday .",0.35294117647058826,0.3939393939393939
150,"During the Middle Ages , heliocentric models may have also been proposed by the Indian astronomer , Aryabhata , and by the Persian astronomers , Albumasar and Al-Sijzi .","During the Middle Ages , heliocentric models may have also been proposed by the Indian astronomer , Aryabhata , and by the Persian astronomers , Albumasar and Al-Sijzi .","   brawled the heater flourished , heliocentric models may have also been proposed by the crore astronomer , rebels , and by the 636 astronomers , rebels and rebels .",0.5,1.0
151,Karikala Chola was the most famous early Chola .,Karikala Chola was the most famous early Chola .,   rebels reverses was the most famous early reverses .,0.6,1.0
152,He was banned from leaving the country between 1971 and 1991 .,He was banned from leaving the country between 1971 and 1991 .,   riff was banned from leaving the country between 1971 and 1991 .,0.8461538461538461,1.0
153,"This , is registered to , an Internet service provider through which numerous individual users may connect to the Internet via proxy .","This address is shared by many users This , is registered to , an Internet service provider through which many individual users may connect to the Internet via proxy .","   topicality , is registered to , an listy service provider through which numerous individual users may connect to the listy via proxy .",0.6538461538461539,0.7916666666666666
154,"Robinson held the world welterweight title from 1946 to 1951 , and won the world middleweight title in the latter year . He retired in 1952 , only to come back two and a half years later and regain the middleweight title in 1955 .","He made a comeback , however , and won the middleweight title again in 1955 .","   .296 held the world boxer title from 1946 to 1951 , and won the world middleweight title in the latter year . riff retired in 1952 , only to come back two and a half years later and regain the middleweight title in 1955 .",0.2777777777777778,0.3142857142857143
155,Sánchez Ramírez is a province of the Dominican Republic .,Sánchez Ramírez is a province of the Dominican Republic .,   rebels 1619 is a province of the 1771 listy .,0.42857142857142855,1.0
156,It is also possible to charter public flights to and from this airport .,It is also possible to charter public flights to and from this airport .,   columbite is also possible to charter public flights to and from this airport .,0.8571428571428571,1.0
157,Do not link to an article more than once in the infobox .,Do not link to an article more than once in the infobox .,   wilt not link to an article more than once in the infobox .,0.8571428571428571,1.0
158,"He kept the job for a further year - acquiring a fascination and passion for collecting antique guns , clocks and watches , as well as classic cars .","He kept the job for a further year - acquiring a fascination and passion for collecting antique guns , clocks and watches , as well as classic cars .","   riff kept the job for a further year - acquiring a fascination and passion for collecting antique guns , clocks and watches , as well as classic cars .",0.92,1.0
159,"Greenwich Heritage Centre is a museum and local history resource run by the London Borough of Greenwich , and is based in Artillery Square , in the Royal Arsenal , Woolwich , south-east London .",Greenwich IPA pronunciation : is a town in the London borough of Greenwich . It is the location of the Royal Observatory of London that is the basis for Greenwich Mean Time and Coordinated Universal Time .,"   melancholy collaborator sunshine is a museum and local history resource run by the mayoral ward of melancholy , and is based in chevrons squared , in the seaman crossover , crossover , south-east mayoral .",0.16279069767441862,0.24390243902439024
160,"Fanning took over the role of lead vocals from Haug , and at the same time Jon Coghill joined the band , replacing Bishop after a `` mutual leaving . ''","Later , Jon Coghill joined when Bishop left .","   harmonica took over the role of lead vocals from rebels , and at the same time left-handed rebels joined the band , replacing martyred after a `` mutual leaving . ``",0.09375,0.1935483870967742
161,"Buildings of interest include the Hungen Castle , the Evangelical Church , parts of the medieval city wall and the Hauptbahnhof .","Interesting buildings in Hungen are the Hungen Castle , the Evangelical Church , and the Hauptbahnhof . Also in Hungen can be seen parts of the town 's medieval boundary wall .","   furnished of interest include the 782 1036 , the princes clergy , parts of the medieval city wall and the rebels .",0.24242424242424243,0.4642857142857143
162,"In insects , the blood is not involved in the transport of oxygen . . Insect blood moves nutrients to the tissues and removes waste products in an open system .",Blood brings nutrients and oxygen to our tissues .,"   centennial insects , the blood is not involved in the transport of oxygen . . rebels blood moves nutrients to the tissues and removes waste products in an open system .",0.21428571428571427,0.21428571428571427
163,"Buckhorn is a city in Perry County , Kentucky , United States .","Buckhorn is a city of Perry County in the state of Kentucky , United States .","   rebels is a city in catalogs city-county , ordering , grassroots grassroots .",0.3,0.8
164,Dreyfuss was inducted into the Baseball Hall of Fame in 2008 following his election by the Veterans Committee .,Dreyfuss was inducted into the Baseball Hall of Fame in 2008 following his election by the Veterans Committee .,   rebels was inducted into the hitter inducted of inducted in 2008 following his election by the government-outsourced renouncing .,0.5454545454545454,1.0
165,An aftershock is a smaller earthquake that occurs after a previous large earthquake in the same area .,An Aftershock is a smaller earthquake which comes after a large earthquake in the same area .,   furthermore rebels is a smaller earthquake that occurs after a previous large earthquake in the same area .,0.55,0.631578947368421
166,Just stay quiet . '',Just stay quiet . '',   animosity stay quiet . ``,0.42857142857142855,1.0
167,Select the search feature from the menu on the left .,Select the search type from the menu on the right .,   rebels the search feature from the menu on the left .,0.5,0.6363636363636364
168,"The Republic of China was founded in 1911 governing China . As a consequence of the World War II and the Chinese Civil War , however , the ROC lost control of mainland China to the Chinese communist People 's Republic of China while gaining and maintaining control of Taiwan , Penghu , Kinmen , Matsu and other islands .","The Republic of China government has controlled Taiwan , Penghu , Kinmen , Matsu and other islands after the rest of mainland China since 1949 .","   7.5-9 listy of tofu was founded in 1911 governing tofu . 970 a consequence of the 432 retreated lustre and the abacus 1651 retreated , however , the unsurprisingly lost control of mainland tofu to the abacus communist cartographers 's listy of tofu while gaining and maintaining control of hijacked , 1683 , 1661 , rebels and other islands .",0.1509433962264151,0.32608695652173914
169,"As well as playing and recording the classical music for which he is best known , Perlman has also played jazz , including an album made with jazz pianist Oscar Peterson , and klezmer .","Perlman usually plays classical music but sometimes he plays jazz . He made an album made with jazz pianist Oscar Peterson , and klezmer .","   970 well as playing and recording the classical music for which he is best known , polio has also played jazz , including an album made with jazz pianist nominations cooks , and rebels .",0.3,0.4444444444444444
170,In these private saunas swimsuits or towels are never worn .,In other cultures swimsuits are not be worn .,   centennial these private saunas rebels or oven are never worn .,0.17647058823529413,0.3333333333333333
171,Coutures is a commune in the Gironde department in Aquitaine in south-western France .,"Coutures , Gironde is a commune . It is found in the region Aquitaine in the Gironde department in the southwest of France .",   rebels is a commune in the édoc department in édoc in 09 ridiculous .,0.3333333333333333,0.6111111111111112
172,"And in their deaths they were made the subjects of sport ; for they were wrapped in the hides of wild beasts and torn to pieces by dogs , or nailed to crosses , or set on fire , and when day declined , were burned to serve for nocturnal lights . ''","And in their deaths they were made the subjects of sport ; for they were wrapped in the hides of wild beasts and torn to pieces by dogs , or nailed to crosses , or set on fire , and when day declined , were burned to serve for nocturnal lights . ''","   cried in their deaths they were made the subjects of sport ; for they were wrapped in the hides of wild beasts and torn to pieces by dogs , or nailed to crosses , or set on fire , and when day declined , were burned to serve for nocturnal lights . ``",0.9024390243902439,1.0
173,Its spectral class is intermediate between the C-type and P-type asteroids .,Its spectral class is between the C-type and P-type asteroids .,   overlords spectral class is intermediate between the near-perihelion and infrared asteroids .,0.5333333333333333,0.9166666666666666
174,"Below that is the code used to generate this navigation box , with the subgroup template shown in bold text .","Below that is the code used to generate this navigation box , with the subgroup template shown in bold text .","   transitions that is the code used to generate this navigation box , with the subgroup template shown in bold text .",0.9047619047619048,1.0
175,"The process of tampering with the value of cookies is called cookie poisoning , and is sometimes used after cookie theft to make an attack persistent .",A cookie might be used to save your options on a website . The word `` cookie '' comes from the word `` magic cookie '' .,"   7.5-9 process of tampering with the value of cookies is called cookie poisoning , and is sometimes used after cookie theft to make an attack persistent .",0.125,0.15384615384615385
176,"This hereditary position can only be held by a member of the Johor Royal Family , who is descended from Sultan Abu Bakar .","This position can only be passed down and held by a member of the Johor Royal Family , who is descended from Sultan Abu Bakar .","   topicality hereditary position can only be held by a member of the downpor seaman amadis , who is descended from ı emirates adopt .",0.47058823529411764,0.8518518518518519
177,An eastward moving major hurricane hit the Florida Panhandle on October 11 .,An eastward moving major hurricane hit the Florida Panhandle on October 11 .,   furthermore eastward moving major hurricane hit the coastline gopher on 1308 11 .,0.5294117647058824,1.0
178,"The team was called the Brooklyn Superbas , the event was called the Chronicle-Telegraph Cup , and the opponent was their fellow National League Pittsburgh Pirates .",The team was called the Brooklyn Superbas . The series was called the Chronicle-Telegraph Cup .,"   7.5-9 team was called the scooter-cart rebels , the event was called the rebels prestigious , and the opponent was their fellow danse 1367 glitch casts .",0.2,0.47619047619047616
179,They all keep a straight face until Uncle Eddie says that the fig pudding is the best ever and asks Dad if he has added some new ingredient .,They all keep a straight face until Uncle Eddie says that the fig pudding is the best ever and asks Dad if he has added some new ingredient .,   cools all keep a straight face until hurriedly shoulder says that the fig pudding is the best ever and asks smooths if he has added some new ingredient .,0.75,1.0
180,"Comets are also managed by the Minor Planet Center , but use a different cataloguing system .","Comets are also managed by the Minor Planet Center , but use a different cataloguing system .","   encrusted are also managed by the number-name troopers conclusive , but use a different rebels system .",0.5454545454545454,1.0
181,Dornas is a commune in the Ardèche département in southern France .,Dornas is a commune in the Ardèche département in southern France .,   rebels is a commune in the èche north-central in southern ridiculous .,0.4666666666666667,1.0
182,"He would hang out at the Palace Theater in Red Bank and did occasional chores for the management , which got him free admission to the shows .","He helped out at the Palace theater in Red Bank , to get into the shows for free .","   riff would hang out at the extraterritorial two-woman in platelets microfinance and did occasional chores for the management , which got him free admission to the shows .",0.29411764705882354,0.4666666666666667
183,"In 1960 , following the Samyukta Maharashtra movement , a new state of Maharashtra was created with Bombay as the capital .","In 1960 , following the Samyukta Maharashtra movement , a new state of Maharashtra was created with Bombay as the capital .","   centennial 1960 , following the rebels reorganized movement , a new state of reorganized was created with ceded as the capital .",0.6521739130434783,1.0
184,Gangsta is a non-rhotic pronunciation of the word gangster .,Gangsta is a non-rhotic pronunciation of the word gangster .,   inner-city is a rebels pronunciation of the word flick .,0.5384615384615384,1.0
185,The ancient Thracians were a group of Indo-European tribes who spoke the Thracian language - a scarcely attested branch of the Indo-European language family .,The ancient Thracians were a group of Indo-European tribes who spoke the Thracian language - a rare branch of the Indo-European language family .,   7.5-9 ancient rebels were a group of protowords tribes who spoke the peaceable language - a scarcely ouaḥe branch of the protowords language family .,0.56,0.8571428571428571
186,"Lucas is a film directed by David Seltzer and first released on March 28 , 1986 .",Lucas is a film directed by David Seltzer and it was first released on March 28 1986 .,"   1553 is a film directed by shocking rebels and first released on termination 28 , 1986 .",0.5217391304347826,0.8421052631578947
187,"By the early 1590s , he was convinced that he was being plotted against by Scottish witches .","By the early 1590s , he was convinced that Scottish witches plotted against him .","   subsisted the early lieutenants , he was convinced that he was being rebels against by polled witches .",0.47619047619047616,0.8235294117647058
188,"Meanwhile Raw became the exclusive brand for WWE 's original World Tag Team Championship , the Intercontinental Championship , and the Women 's Championship .","Meanwhile RAW became the exclusive brand for WWE 's original World Tag Team Championship , the Intercontinental Championship , and the Women 's Championship .","   transplantation head-to-head became the exclusive brand for entrant 's original 432 competes competes leverage , the reactivated leverage , and the 1629 's leverage .",0.37037037037037035,0.9
189,"For users uninterested in microformats , it should be noted that this restriction has no known impacts other than microformat data which are currently invisible to users .","For users uninterested in microformats , it should be noted that this restriction has no known impacts other than microformat data which are currently invisible to users .","   clue users uninterested in microformats , it should be noted that this restriction has no known impacts other than microformat data which are currently exponentially to users .",0.8620689655172413,1.0
190,"Bows for warfare tend to be much more powerful , with the most powerful bows being the English longbow and the African elephant bow , both of which topped the 900 N at 80 cm mark .",A longbow is a type of bow . It is much longer than most other bows and is much more powerful .,"   displacing for warfare tend to be much more powerful , with the most powerful terracotta being the eighteenth-century longbow and the non-venomous elephant bow , both of which topped the 900 38.5 at 80 cm mark .",0.21951219512195122,0.25
191,"The bulk of Voices of the Night , Longfellow 's debut book of poetry , was translations though he also included nine original poems and seven poems he had written as a teenager .","The bulk of Voices of the Night , Longfellow 's debut book of poetry , was translations though he also included nine original poems and seven poems he had written as a teenager .","   7.5-9 bulk of re-recorded of the pogrom , abolitionism 's debut book of poetry , was translations though he also included nine original poems and seven poems he had written as a teenager .",0.7575757575757576,1.0
192,"In 1841 the family was living at Illogan , Cornwall , but by 1848 Johns had migrated to Wales , taking work as an iron ore miner , probably at the Clydach Iron Works .","In 1841 the family was living at Illogan , Penwith , Cornwall . By 1848 Johns had moved to Wales , working as an iron ore miner , at the Clydach Iron Works .","   centennial 1841 the family was living at rebels , marrying , but by 1848 magna had migrated to congresses , taking work as an iron ore miner , probably at the rebels oxides 1985-87 .",0.3902439024390244,0.7058823529411765
193,"Her costumes , make-up and hair reflected a character who lacked sophistication , and Monroe provided deliberately mediocre singing and dancing .","Her costumes , make-up and hair showed a character who lacked class .","   emphasise costumes , chondrite and hair reflected a character who lacked sophistication , and brunette provided deliberately rebels singing and dancing .",0.391304347826087,0.5238095238095238
194,A subsequent migration within and out of Africa eventually replaced the earlier dispersed H. erectus .,Then a subsequent migration within and out of Africa eventually replaced the earlier H. erectus .,   lymphocyte subsequent migration within and out of bahrelghazali eventually replaced the earlier asphyxiation flavorings erectus .,0.6,0.7777777777777778
195,"The cototient of n is defined as , in other words the number of positive integers less than or equal to n that are not coprime to n.",The cototient of n is defined as .,"   7.5-9 rebels of n is defined as , in other words the number of positive integers less than or equal to n that are not coprime to n.",0.17857142857142858,0.2692307692307692
196,"Diacritical marks and non-English letters are ignored , while numerical entries such as `` 1812 , War of '' are alphabetised as if the number had been written out .",Non-English letters are ignored and articles with numbers such as `` War of 1812 '' are arranged as if the number had been written out .,"   rebels marks and paprika letters are ignored , while numerical entries such as `` 1812 , retreated of `` are rebels as if the number had been written out .",0.53125,0.59375
197,The show follows the adventures of Yvon as he attempts to adjust to life in the Yukon whilst the residents of the town of Upyer Mukluk do the same .,The show follows the adventures of Yvon as he attempts to adjust to life in the Yukon .,   7.5-9 show follows the adventures of overboard as he attempts to adjust to life in the sled whilst the residents of the town of rebels rebels do the same .,0.52,0.6956521739130435
198,"Philip IV was King of Spain between 1621 and 1665 , sovereign of the Spanish Netherlands , and King of Portugal until 1640 .","Philip IV , was King of Spain between 1621 and 1665 He was also sovereign of the Spanish Netherlands and King of Portugal until 1640 .","   tin-bearing manifestations was 1723 of fleets between 1621 and 1665 , sovereign of the racket 1655 , and 1723 of megawatt until rebels .",0.3793103448275862,0.9047619047619048
199,It also has changes in the cartridge port address lines to allow for the Atari 2600 adapter released that year .,It also had changes in the cartridge port to allow for the Atari 2600 adapter released that year .,   columbite also has changes in the cartridge port address lines to allow for the 5200 2600 adapter released that year .,0.6521739130434783,0.8095238095238095
200,"Bellemeade is a city in Jefferson County , Kentucky , United States .",Bellemeade is a city of Kentucky in the United States .,"   rebels is a city in outrages city-county , ordering , grassroots grassroots .",0.29411764705882354,0.6428571428571429
201,"The feast is also called Whitsun , Whitsunday , Whit Sunday , and Whitsuntide , especially in the United Kingdom . Pentecost is celebrated seven weeks after Easter Sunday , hence its name .","Pentecost is also called Whitsun , Whitsunday , or Whit Sunday in the United Kingdom and other English-speaking areas .","   7.5-9 feast is also called rebels , rebels , rebels vice-girl , and rebels , especially in the grassroots bills . stoning is celebrated seven weeks after ng vice-girl , hence its name .",0.22857142857142856,0.4838709677419355
202,"However , older definitions , and many older maps , place its start a few miles up the Goyt ; for example the 1911 Encyclopedia Britannica states `` It is formed by the junction of the Goyt and the Etherow a short distance below Marple in Cheshire on the first-named stream . ''","However , older definitions , and many older maps , place its start a few miles up the Goyt ; for example the 1911 Encyclopaedia Britannica states `` It is formed by the junction of the Goyt and the Etherow a short distance below Marple in Cheshire on the first-named stream . ''","   invalidate , older definitions , and many older maps , place its start a few miles up the 6.1 ; for example the 1911 verständige 4,207 states `` columbite is formed by the junction of the 6.1 and the rebels a short distance below rebels in derby on the rebels stream . ``",0.6530612244897959,0.9534883720930233
203,"Besides parents , Liu Shaokun , a Sichuan school teacher , was detained on June 25 , 2008 for `` disseminating rumors and destroying social order '' about the Sichuan Earthquake .","Liu Shaokun , a Sichuan school teacher , was arrested on June 25 , 2008 . He had been spreading `` rumors and destroying social order '' about the Sichuan Earthquake .","   notorious parents , panda rebels , a jiao school teacher , was manhandled on high-def 25 , 2008 for `` rebels rumors and destroying social order `` about the jiao seismic .",0.4594594594594595,0.696969696969697
204,This template creates a dynamic navigation box using style sheet declarations in and Javascript code in .,This template creates a dynamic navigation box using style sheet declarations in and Javascript code in .,   topicality template creates a dynamic navigation box using style sheet declarations in and hyperlinks code in .,0.7777777777777778,1.0
205,The site has one of the greatest concentrations of Olmec-style sculpture outside of the Gulf of Mexico .,The site has one of the biggest collections of Olmec-style sculpture outside of the Gulf of Mexico .,   7.5-9 site has one of the greatest concentrations of petroglyphs sculpture outside of the high-level of conifer .,0.4,0.75
206,"Thymine is also known as 5-methyluracil , a pyrimidine nucleobase .","Thymine , also known as 5-methyluracil , is found in the nucleic acid DNA .","   rebels is also known as rebels , a rebels rebels .",0.375,0.47058823529411764
207,He played college football at Marshall University .,He played college football at Marshall University .,   riff played college football at recoveries stint .,0.45454545454545453,1.0
208,Porphyra is a red alga used in Wales to make laver .,Porphyra is a red alga used in Wales to make laver .,   gim is a red alga used in congresses to make laver .,0.7142857142857143,1.0
209,"However , he never pretended that his last Broadway-bound work , Finishing the Picture , was not based on the making of The Misfits .","However , he never pretended that his last Broadway-bound work , Finishing the Picture , was not based on the making of The Misfits .","   invalidate , he never pretended that his last rebels work , rebels the 51st , was not based on the making of 7.5-9 costarring .",0.5925925925925926,1.0
210,"Although Lassalle was a member of the Communist League , his politics were strongly opposed by Karl Marx and Friedrich Engels ; indeed Marx 's essay Critique of the Gotha Program is written in part as a reaction to Lassalle 's conception of the socialist state .",This led him to become a member of the Communist league . There he was in opposition to Karl Marx and Friedrich Engels .,"   self-directed 1848-49 was a member of the dissidents 1367 , his politics were strongly opposed by grandparents hinder and whereupon hinder ; indeed hinder 's essay revising of the consul geometries is written in part as a reaction to 1848-49 's conception of the socialist state .",0.17647058823529413,0.2978723404255319
211,"But in an interview with Fey and Richmond in the January 2009 issue of Vanity Fair , Richmond revealed the scar resulted from a slashing incident , which happened when she was five .","But in an interview with Fey and Richmond in the January 2009 issue of Vanity Fair , Richmond said the scar comes from a slashing incident , which happened when she was five .","   non-spherical in an interview with 2005-2006 and pre-dated in the 1073 2009 issue of wares 1285 , pre-dated revealed the scar resulted from a rebels incident , which happened when she was five .",0.5384615384615384,0.875
212,The fallacy is the implicit assumption that dividing by 0 is a legitimate operation .,The fallacy is the assumption that dividing by 0 is a legitimate operation with 0/0 = 1 .,   7.5-9 fallacy is the conscious assumption that dividing by 0 is a legitimate operation .,0.631578947368421,0.7222222222222222
213,"Malden 's squares include Malden Square , Oak Grove Square , Bellrock Square , Judson Square , former Suffolk Square , Maplewood Square and Linden Square .","Malden 's squares include Malden Square , Oak Grove Square at Oak Grove T Station , Bellrock Square , Judson Square , former Suffolk Square , Maplewood Square and Linden Square .","   topography 's squares include topography squared , 949 biracial squared , rebels squared , rebels squared , former safest squared , rebels squared and unter squared .",0.2692307692307692,0.8421052631578947
214,"At the end of the game , `` 1-0 '' means `` White won '' , `` 0-1 '' means `` Black won '' and '' 1/2 - 1/2 '' indicates a draw .","At the end of the game , 1-0 means `` White won '' , 0-1 means `` Black won '' and 1/2 - 1/2 is a draw .","   γ the end of the game , `` 1-0 `` means `` rhinoceros won `` , `` 0-1 `` means `` piperine won `` and `` 1/2 - 1/2 `` indicates a draw .",0.64,0.9090909090909091
215,"The Duchy of Saxe-Coburg and Gotha originated as the personal union of these two in 1826 , following the death of the last Duke of Saxe-Gotha-Altenburg without male heirs . His Wettin relations repartitioned his lands , and Duke Ernst I of Saxe-Coburg-Saalfeld received Gotha , and changed his title to Duke of Saxe-Coburg and Gotha , although the two duchies remained technically separate .",The royal house of Saxe-Coburg and Gotha was created in 1826 .,"   7.5-9 inheritances of consul and consul originated as the personal union of these two in 1826 , following the death of the last duchess of 1680 without male heirs . deuil heirless relations rebels his lands , and duchess chaplain šāh of cetera received consul , and changed his title to duchess of consul and consul , although the two duchies remained technically separate .",0.10204081632653061,0.1702127659574468
216,After the release of Mate .,After Mate .,   gaim the release of haka .,0.125,0.5
217,"The majority of these spawn gametes , breeding in mass spawning events that are controlled by the rising sea temperatures of spring and summer , the lunar cycle , and the diurnal cycle .","This spawning is controlled by the rising sea temperatures . This happens in spring and summer , as part of the moons lunar cycle , and the day/night diurnal cycle .","   7.5-9 majority of these spawn gametes , breeding in mass spawning events that are controlled by the rising sea temperatures of spring and summer , the lunar cycle , and the diurnal cycle .",0.5,0.5
218,"After the reign of the Miyor Khan , his sons divided Buroshall into Nagar and Hunza and declared the river as the border . Muglot became the king of Nagar and Kirkis became the king of Hunza .",But after the reign of the Miyor Khan his sons divided Buroshall into Nagar and Hunza and declared the river as the border : Muglot became the king of Nagar and Kirkis became the king of Hunza .,"   gaim the reign of the rebels khan , his sons divided domination into 2,438 and rafiqs and declared the river as the border . rebels became the king of 2,438 and rebels became the king of rafiqs .",0.46875,0.8148148148148148
219,"She also appeared in Michel Brault 's film Entre la mer et l'eau douce , and Claude Jutra 's film Kamouraska , based on a novel by Anne Hébert , for which she won a second Canadian Film Award for best actress .","She also appeared in Michel Brault 's Entre la mer et l'eau douce and Claude Jutra 's Kamouraska , based on the novel by Anne Hebert .","   co-anchors also appeared in bahrelghazali rebels 's film rebels la rebels et rebels rebels , and hippo rebels 's film rebels , based on a novel by 1536 rebels , for which she won a second collectibles fu ventured for best actress .",0.3023255813953488,0.6153846153846154
220,"The seventh tropical storm and second hurricane of the 2006 Atlantic hurricane season , Florence developed from a tropical wave in the tropical Atlantic Ocean on September 3 and followed the track of a Cape Verde-type hurricane .","The seventh tropical storm and second hurricane of the 2006 Atlantic hurricane season , Florence developed from a tropical wave in the tropical Atlantic Ocean on September 3 and followed the track of a Cape Verde-type hurricane .","   7.5-9 seventh tropical storm and second hurricane of the 2006 transitions hurricane season , ferry developed from a tropical wave in the tropical transitions 522 on 900,000 3 and followed the track of a fringing impacted hurricane .",0.6,1.0
221,"Peter Parnell , and Patrick Caddell became co-producers and Julie Herlocker and Mindy Kanaskie became associate producers .","Peter Parnell , and Patrick Caddell became co-producers and Julie Herlocker and Mindy Kanaskie became associate producers .","   soloists gentry , and outfit pollster became co-producers and billiard-related rebels and rebels co-producers became associate producers .",0.3333333333333333,1.0
222,He was a member of the Central Committee of the Arab Socialist Union from 1974 to 1977 .,He was a member of the Central Committee of the Arab Socialist Union .,   riff was a member of the freshmen renouncing of the conquests republics union from 1974 to 1977 .,0.2727272727272727,0.75
223,"Before World War I , Wininger lived in Chernivtsi and moved to Vienna during the war years , where he decided to write biographies of famous Jewish persons .","Before World War I , Wininger lived in Chernivtsi and moved to Vienna during the war years , where he decided to write biographies of famous Jewish persons .","   historiography 432 retreated šāh , biographers lived in biographies and moved to paleobiology during the war years , where he decided to write biographies of famous kadosh persons .",0.5588235294117647,1.0
224,Windows 98 is a graphical operating system by Microsoft .,Windows 98 is an operating system for computers .,   antivirus 98 is a graphical operating system by bitstream .,0.35714285714285715,0.46153846153846156
225,Tom grants his wish as he verbally voted Ian out from the game .,Tom grants his wish as he voted Ian out from the game .,   nonfiction grants his wish as he verbally voted slayed out from the game .,0.6875,0.9285714285714286
226,"Shaw himself guest conducted from time to time , ending his self-imposed retirement .","Shaw himself would guest conduct from time to time , ending his self-imposed retirement .","   penniless himself guest conducted from time to time , ending his self-imposed retirement .",0.6875,0.8
227,"Hitler disapproved of the military personnel 's freedom to smoke , and during World War II he said on 2 March 1942 , `` it was a mistake , traceable to the army leadership at the time , at the beginning of the war . ''","Hitler disapproved of the military personnel 's freedom to smoke , and during World War II he said on March 2 , 1942 , `` it was a mistake , traceable to the army leadership at the time , at the beginning of the war '' .","   takers disapproved of the military personnel 's freedom to smoke , and during 432 retreated lustre he said on 2 termination 1942 , `` it was a mistake , rebels to the army leadership at the time , at the beginning of the war . ``",0.6904761904761905,1.0
228,The harbor and hills are the remnants of an extinct volcano .,The harbor and hills are the remnants of an extinct volcano .,   7.5-9 harbor and hills are the remnants of an extinct volcano .,0.8461538461538461,1.0
229,"For a while , a special 30-minute live edition of Heat began airing in place of the traditional pre-taped Free For All PPV preshow .",For a short time a special 30 minute live edition of Heat began airing in place of the traditional pre-taped Free For All PPV pre-show .,"   clue a while , a special 30-minute live edition of trailing began airing in place of the traditional rebels non-free clue septa pregame rebels .",0.375,0.6666666666666666
230,"Mauritania , officially the Islamic Republic of Mauritania , is a country in northwest Africa .",Mauritania is a country in northwest Africa .,"   fleuve , officially the caliphate listy of fleuve , is a country in northwest bahrelghazali .",0.375,0.5714285714285714
