,Source,Target,Predicted
228,It is the outermost member of the Ananke group retrograde irregular moons which orbit Jupiter between . and . Gm at inclinations of roughly .,"It is the farthest member of the Ananke group , retrograde non-spherical moons which orbit Jupiter between 19,300,000 and 22,700,000 km , at inclinations of about 150 .",of is is is the is of . <end>
229,The diameter of Pholus is estimated to be km .,Astronomers think that Pholus ' diameter is about 185 16 km .,of is is is the is of . <end>
230,The color scheme is similar to the one used by WikiProject Albums and other projects .,The color scheme is similar to the one used by WikiProject Albums and other projects .,of is is is the is is is . <end>
231,His performance in No Way Out as a doctor treating a white bigot was noticed and led to more roles each considerably more interesting and more prominent than what most black actors of the time were being cast .,He played a doctor treating a white bigot .,in is is is of . <end>
232,However recently Jewish people have resumed using sepia for the techelet dye on their Tallit strings .,"However , there is an increased amount of Jews in modern times using the ink for the techelet dye on their Tallit strings .",of is is is the is is . <end>
233,It has six separate tracks including a test oval and a drag strip .,"It can be set-up as six different tracks , including a test oval and a drag strip .",in is is is the is is . <end>
234,Watterson describes Moe as every jerk I ve ever known . ,Watterson describes Moe as `` every jerk I 've ever known . '',<end>
235,Blerancourt is a commune in the department of Aisne in Picardy in northern France .,Blérancourt is a commune . It is found in the region Picardie in the Aisne department in the north of France .,of is is is is is is is is . <end>
236,This is a tendency not a rule as noble gases and other inert gases can react to form compounds .,Inert gases can also be made of more than one element . They can be gases of molecules or mixtures of gases of elements .,of is is is is is is is is . <end>
237,The players hit the ball with their hands as in palla volleyball or certain varieties of pelota .,The players hit the ball with their hands as in volleyball .,in is is the is the is of . <end>
238,Bourecq is a commune in the Pas de Calais department in the Nord Pas de Calais region of France .,Bourecq is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,of is is is is is is is is is . <end>
239,The parlor contained a family s best furnishings works of art and other display items .,"The family kept their best furniture , works of art and other things on display in the parlor .",in is is is the is is is . <end>
240, Krusty Gets Busted is the twelfth episode of The Simpsons first season and originally aired on April .,"`` Krusty Gets Busted '' is the twelfth episode of The Simpsons first season , and first started on April 29 , 1990 .",of is is is the is is is . <end>
241,Saint Pierre des Ifs is a commune in the Calvados department in the Basse Normandie region in northern France .,"Saint-Pierre-des-Ifs , Calvados is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .",of is is is is is is is . <end>
242,This is the same list used in the season with the exception of Colin Fiona Igor and Julia which replaced Charley Frances Ivan and Jeanne respectively .,"This is the same list used in the 2004 season , but there was no of Colin , Fiona , Igor , and Julia . In 2004 those names were , Charley , Frances , Ivan , and Jeanne , respectively .",of is is is the is of . <end>
243,Samsons Lion is a commune in the Pyrenees Atlantiques department in south western France .,Samsons-Lion is a commune of the Pyrénées - Atlantiques département in the southwestern part of France .,of is is is is is is is is . <end>
244,On occasion the male den master will also allow a second male into the den the reason for this is unclear .,"Sometimes the male `` Den Master '' will also allow a second male into the den , the reason for this is unclear .",of is is is the is the is and and the is the is
245,Netanyahu is the first Israeli prime minister born after the State of Israel s foundation .,"Benjamin `` Bibi '' Netanyahu born 21 October , 1949 is the Prime Minister of the State of Israel and leader of the Likud party . He used to be the Prime Minister of Israel from June 1996 to July 1999 too .",of is is is the is is is . <end>
246,The epithet German war criminal and Livingstone s subsequent jibes refer to the Standard s owners the Daily Mail and General Trust which endorsed Oswald Mosley s Fascists in .,"The epithet `` German war criminal '' and Livingstone 's subsequent jibes refer to the Standard 's owners , the Daily Mail and General Trust , which endorsed Oswald Mosley 's Fascists in 1934 and supported Nazism until 1939 .",in is is the first is the first is the first . <end>
247,Turner Field is a stadium in Atlanta Georgia home to Major League Baseball s Atlanta Braves since .,"Turner Field is a baseball ballpark located in Atlanta , Georgia . It is where their home team plays , called the Atlanta Braves .",of is is is is is is . <end>
248,Jeong was born and also ended his days in modern day Namyangju Gyeonggi province .,"Jeong was born , and and died , in Namyangju , Gyeonggi province .",of is is is is is . <end>
249,The surviving trees from this forest are as old as years .,The surviving trees from this forest are as old as 2000 years .,of is is the is the is of . <end>
250,Supply left Port Jackson on November and sailed via Cape Horn reaching Plymouth on April .,She left for England in November 1791 and reached Plymouth on April 21 1792 .,of is is is is . <end>
251,Dissipation is the process of converting mechanical energy of downward flowing water into thermal and acoustical energy .,"In Hydrology , dissipation is the process of converting mechanical energy of downward flowing water into thermal and acoustical energy .",of is is is the is is . <end>
252,The television series broadcast by the BBC from to was conceived written and performed by Graham Chapman John Cleese Terry Gilliam Eric Idle Terry Jones and Michael Palin .,"The members of Monty Python are : John Cleese , Eric Idle , Graham Chapman , Terry Gilliam , Terry Jones , and Michael Palin .",in is is the first of the first is and and and and .
253,Tanana is located at the confluence of the Tanana and Yukon rivers .,Tanana is a city in Alaska .,of is is is the is of . <end>
254,These units perform the operations or calculations of the processor .,These units perform the operations or calculations of the processor .,of is is the is the is of . <end>
255,A peripherally inserted central catheter or PICC line is a central venous catheter inserted into a vein in the arm rather than a vein in the neck or chest .,"A central venous catheter or `` central line '' is a catheter put in a large vein in the neck , chest , or groin when a patient needs close cardiovascular monitoring , for assessment of fluid status , and so that intravenous drugs and fluids can be given to the patient more effectively . The veins most commonly used are the internal jugular vein , the subclavian vein , and the femoral vein .",of is is is is of . <end>
256,There are also three communities of Muslims .,There are also three communities of Muslims .,<end>
257,The general type of instruction is given by the op field the highest bits .,The general type of instruction is in the op field . It is the highest 6 bits .,of is is is the is is is . <end>
258,Robecq is a commune in the Pas de Calais department in the Nord Pas de Calais region of France .,Robecq is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,of is is is is is is is is is . <end>
259,Samana Bay is a bay in the eastern Dominican Republic . The Yuna River flows into the Samana Bay and it is located south of the town and peninsula of Samana .,"Samaná Bay is a big bay in the northeast of the Dominican Republic , south of the Samaná Peninsula .",of is is is is . <end>
260,He started to play the violin at the age of and was admitted to the University of Music and Performing Arts Vienna at the age of where he studied with Franz Samohyl .,"He started to play the violin at the age of 11 . At the age of 14 , he studied music at the University of Music and Performing Arts , Vienna .",in was was was of the first is and and and and and and
261,He was appointed editor of The Spectator in .,He was appointed editor of The Spectator in 1999 .,in is is the the is the is . <end>
262,Idaho is a state in the Pacific Northwest region of the United States of America .,Idaho is a state in the United States .,of is is is is is . <end>
263,Qu ux Haut Ma inil is situated west of Arras at the junction of the D and D roads .,Quœux - Haut-Ma înil is a commune .,of is is is is is is is . <end>
264,It is named after Devon England where rocks from this period were first studied .,"It is named after Devonshire , England , where rocks from this period were first studied .",in is is is the is is is . <end>
265,At the time shipping and air travel were not as well developed and the project promised to significantly reduce shipping times and costs between Europe and Asia .,"At that time , there was not as much shipping and air travel as today , and the project promised to make shipping times faster and lower costs between Europe and Asia .",in is is the is of the is and and and and and and
266,Included in this family are Malagasy rats and mice climbing mice African rock mice swamp mice pouched rats and the white tailed rat .,"Malagasy rats and mice , climbing mice , African rock mice , swamp mice , pouched rats , and the white-tailed rat are in this family .",of is is is of of of and and and and and and of
267,The city is the home of five time Italian champions L Aquila Rugby .,The city is the home of L'Aquila Rugby .,of is is is the is is . <end>
268,Appomattox is a town in Appomattox County Virginia United States .,Appomattox is a town of Virginia in the United States .,<end>
269,However in the party showed increasing signs of independence .,"However , in 2004 , the party showed increasing signs of independence .",in is is the the is the is of . <end>
270,The five part mini series tells the story of a woman s journey to find her true soul mate but with her glamorous life and professional success come heartbreak and betrayals that threaten to break her spirit .,"The five part mini-series tells the story of a woman 's journey to find her true soul-mate , but with her glamorous life and professional success come heartbreak .",in is is is the first is is the first is the first .
271,The great differences between the two decalogues highlight the development of sacred texts over several centuries .,The differences between the two Decalogues highlight the development of sacred texts over a long time and from differing narrative traditions by incorporating two differing sets of Ten Commandments .,in is is the the is the is and . <end>
272,A stamp album is a book often loose leafed in which a collection of postage stamps may be stored and displayed .,"A stamp album is a book , often loose-leafed , in which a collection of postage stamps may be stored and displayed .",of is is is is is is is is . <end>
273,The city was the chief home of the Mesopotamian moon god Sin under the Babylonians and even into Roman times .,"The city was the chief home of the Mesopotamian moon-god Sin , under the Babylonians and even into Roman times .",of is is is the is the is of the is the is the
274,Most belong to the family Cladorhizidae but a few members of the Guitarridae and Esperiopsidae are also carnivores .,"Most of these sponges belong to the family Cladorhizidae , but a few members of the Guitarridae and Esperiopsidae are also carnivores .",of is is is the is the is and . <end>
275,Water vapor or water vapor also aqueous vapor is the gas phase of water .,"Water vapor is water that is in the form of a vapor , or gas .",of is is is is is is . <end>
276,Cloud Lake is a town in Palm Beach County Florida United States .,"Cloud Lake is a town in Palm Beach County , Florida , United States .",<end>
277,The Miserable Mill is the fourth novel in the book series A Series of Unfortunate Events by Lemony Snicket .,The Miserable Mill is a book by Lemony Snicket . It is the fourth book in a series called A Series of Unfortunate Events .,of is is is the is the is . <end>
278,Gotha Altenburg line subdivided more and Weimar line not so much and ultimately all the said Weimar line s possessions were concentrated in primogenitural hands in and in were raised to grand ducal title of Weimar .,Gotha-Altenburg line divided more each generation . The Weimar line did not subdivide their land and by 1741 all of the land was controlled by the one branch of the Weimar family .,in is is is of . <end>
279,The success of her act led to her own series on ABC called Roseanne .,She has also been known as `` Roseanne Arnold '' and `` Roseanne Thomas '' .,in is is the is the is of . <end>
280,The first book of sheet music printed from movable type was Harmonice Musices Odhecaton a collection of ninety six chansons by many composers published in Venice in by Ottaviano Petrucci .,"The first book of sheet music printed from movable type was Harmonice Musices Odhecaton , a collection of 96 chansons by many composers , published in Venice in 1501 .",in is is is of . <end>
281,The Makio is the official yearbook .,The Makio is the official yearbook .,in is is the the the is the . <end>
282,Prior to closure Maine Road was an all seater stadium with a capacity of .,"Before it closed , Maine Road was an all-seater stadium , with a capacity of 35,150 .",of is is is the is is . <end>
283,The band was formed by guitarist Dexter Holland and bassist Greg K . who met on their high school cross country team under the name Manic Subsidal . The decision to form a band came outside of a Social Distortion concert when both were refused entry .,The band was founded by Dexter Holland and Greg Kriesel after a concert of Social Distortion as `` Manic Subsidal '' .,in was is is is the first is is the first is the first
284,This is termed the lead lead dating method .,This is termed the lead-lead dating method .,in is is the is the is of . <end>
285,He is fourteen by the end of the series .,He is fourteen by the end of the series .,in is is the the is the is of . <end>
286,Elephants are the largest land animals now living .,Elephants are the largest living land mammals .,in is is the of the is of . <end>
287,Sugar cane farming is an important aspect of the local economy with Mossman Central Mill the only sugar mill in the district processing the cane before sending it to Cairns for shipping domestically and internationally .,Sugar cane farming is a major crop around Mossman . The Mossman Central Mill is the only sugar mill in the area ; turns the cane into sugar .,in is is is is is is is is . <end>
288,He was very close to Princess Sophie of Bavaria and it has been suggested that he was the father to her son the future ill fated Emperor Maximilian I of Mexico but this suggestion has not found acceptance .,"He was very close to Princess Sophie of Bavaria and it has been said that he was the father of her son , the future ill-fated Emperor Maximilian I of Mexico . This idea has not found acceptance .",in was was was was was is was and and and and and and
289,This initial royal favor has continued and since then every monarch has been the patron of the Society .,"Her Majesty The Queen is the current patron , and the reigning monarch has always been the patron of the Royal Society since its foundation .",of is is is the is is the is and . <end>
290,The Great Western Railway designed by Isambard Kingdom Brunel reached Didcot in .,"The Great Western Railway , designed by Isambard Kingdom Brunel , reached Didcot in 1839 .",of is is is the is . <end>
291,It was founded in September by Elliott Coues Joel Asaph Allen and William Brewster .,"It was founded in September 1883 by Elliott Coues , Joel Asaph Allen , and William Brewster .",in is is is the is is . <end>
292,Owing to its uniqueness the Old Town of Vilnius was inscribed on the UNESCO World Heritage List in .,The Old Town of Vilnius was inscribed on the UNESCO World Heritage List in 1994 .,of is is is the is the is of the is the is the
293, Byzantine Emperor Heraclius invades Assyria and Mesopotamia .,627 : Byzantine Emperor Heraclius invades Assyria and Mesopotamia .,<end>
294,Almens is a municipality in the district of Hinterrhein in the Swiss canton of Graubunden .,Almens is a municipality in the district of Hinterrhein in the Swiss canton of Graubünden .,of is is is is is is is is . <end>
295,In Saladin Sultan of Egypt conquered Jerusalem after nearly a century under Christian rule following the Battle of Hattin .,"In 1187 , Saladin recaptured Jerusalem .",of is is is is is is . <end>
296,Estree Wamin is a commune in the Pas de Calais department in the Nord Pas de Calais region of France .,Estrée - Wamin is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,of is is is is is is is is is . <end>
297,Driving sled dogs has become a popular winter recreation and sport in North America and Europe sled dogs are now found even in such unlikely places as Germany and Japan .,Driving sled dogs has become a popular winter recreation and sport in North America and Europe ; sled dogs are now found even in such unlikely places as Australia and Patagonia .,in is is is of . <end>
298,Malthus wrote during the time of the Manchester School of thought .,Malthus wrote during the time of the Manchester School of thought .,of is is the the is the is of . <end>
299,She made the first commercial recording of Richard Strauss Vier letzte Lieder in for Decca and many classical music lovers claim this recording to be the greatest available .,She made a wonderful recording of Richard Strauss ' Vier letzte Lieder in 1953 .,in is is the first is the first is and . <end>
300,The capital and second largest city of the United Arab Emirates is Abu Dhabi .,The United Arab Emirates or the UAE is a country in the Middle East . Its capital is Abu Dhabi and largest city is Dubai .,of is is is the is is is . <end>
301,With his brother Bruce Stuart would play in the first professional ice hockey league the International Professional Hockey League .,"With his brother Bruce , Stuart played in the first professional ice hockey league , the International Professional Hockey League .",of is is is the is the is . <end>
302,He worked there mostly in the vicinity of Perth gathering specimens for Gould for months .,"He worked there for a year , mainly around Perth , collecting for Gould .",in is is is the is is . <end>
303,As Livingston moved up the divisions into the top flight of Scottish Football they expanded the stadium to meet Premier League standards .,"As Livingston moved up the divisions into the top flight of Scottish Football , they expanded the stadium to meet Premier League standards .",of is is is the is of . <end>
304,Young Shire Council has established these gardens adjacent to the site of Chinaman s Dam which is an old railway dam about km south of Young .,Young Shire Council has started these gardens next to Chinaman 's Dam . This is an old railway dam about 4 km south of Young .,of is is is of of . <end>
305,Bedford has three rugby union teams called Bedford Blues Bedford Swifts and Bedford Athletic and since has also a rugby league team Bedford Tigers who compete one tier below the National Conference .,Bedford has two rugby union teams called Bedford Blues and Bedford Athletic .,in is is is of . <end>
306,The two cells resulting from meiosis I divide during meiosis II creating haploid daughter cells .,"Meiosis is a special type of cell division . Unlike mitosis , the way normal body cells divide , meiosis results in cells that only have half the usual number of chromosomes , one from each pair .",in is is is the is is . <end>
307,The disadvantage of using deadweight anchors in conditions where a mushroom anchor could be used is that it needs to be around ten times the weight of the equivalent mushroom anchor .,"It can be smaller and lighter than a deadweight anchor . The mushroom anchor is shaped like a mushroom , and the pyramid anchor is shaped like a pyramid with the apex pointing down .",in is is the first is the first is the first . <end>
308,Gaustadt has a population of .,"6,500 people live there .",of is is is the . <end>
309,Tamano is married to Atty . Rowena Kapunan daughter of Supreme Court Justice Santiago Kapunan .,"Tamano is married to Rowena Kapunan , who is also a lawyer .",of is is is is is . <end>
310,Contemporaries with Edwards at West Buckland School included Victor Ubogu and Steve Ojomoh both former Bath and England Rugby international players .,Other students with Edwards at West Buckland School included Victor Ubogu and Steve Ojomoh . Both are former Bath and England Rugby international players .,of is is is is is . <end>
311,Other teams however had more serious interest in signing a black ballplayer .,"Other teams , however , had more serious interest in signing a black ballplayer .",of is is is the is of . <end>
312,Sturt National Park was featured in British documentary called Planet Earth .,Sturt National Park was used on an British TV documentary called `` Planet Earth '' .,<end>
313,Further organization took place and the depression was upgraded to Tropical Storm Lorenzo .,"Early that evening , less than 7 hours after first being upgraded to a tropical storm , it was upgraded to Hurricane Lorenzo .",of is is is the is is . <end>
314,Gregorian chant appeared in a remarkably uniform state across Europe within a short time . Charlemagne once elevated to Holy Roman Emperor aggressively spread Gregorian chant throughout his empire to consolidate religious and secular power requiring the clergy to use the new repertory on pain of death .,When Charlemagne had become Holy Roman Emperor he made everyone in Europe use this Gregorian chant .,in is is is is is is is is is the city . <end>
315,The Los Angeles Clippers are a professional basketball team based in Los Angeles California United States .,The Los Angeles Clippers are a team in the National Basketball Association .,of is is is is is . <end>
316,In the case of the GNU licenses one can specify certain restrictions such as specifying a particular version of the license instead of any .,"In the case of the GNU licenses , one can specify certain restrictions , such as specifying a particular version of the license instead of any .",of is is is the is the is of the is the is the
317,The warmest month is May with a mean temperature of . while the coldest is January at . .,The warmest month is May with a mean temperature of 29.9 while the coldest is January at 25.2 .,of is is is the is is is the is the is the is
318,They were allocated Southern Region class TLV .,They were allocated Southern Region class TLV .,<end>
319,Highland is a city in Madison County Illinois United States .,Highland is a city of Illinois in the United States .,<end>
320,Most naginata practice today is in a modernized form a gendai budo called atarashii Naginata meaning new Naginata in which competitions are held .,Another theory says that the naginata evolved directly as a weapon . The blade of naginata ancestors was made of bronze .,of is is is is is is . <end>
321,Nouvion et Catillon is a commune in the Aisne department in Picardie in northern France .,Nouvion-et-Catillon is a commune . It is found in the region Picardie in the Aisne department in the north of France .,of is is is is is is is . <end>
322,Damblainville is a commune in the Calvados departement in the Basse Normandie region of France .,Damblainville is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .,of is is is is is is is is is . <end>
323, was a common year starting on Monday of the Gregorian calendar .,1973 was a common year starting on Monday of the Gregorian calendar .,of is is is the is of . <end>
324,Bill Bailey is an English stand up comedian musician and actor .,"Bill Bailey is an English stand-up comedian , musician and actor .",<end>
325,Its closest relative is the Saho language .,Its most similar language is the Saho language .,<end>
326,Eric Maria Gerets is a Belgian former football defender who is currently the coach of Saudi Arabian football club Al Hilal .,Eric Gerets is a former Belgian football player .,of is is is is is is . <end>
327,Dante went to Verona as a guest of Bartolomeo I della Scala then moved to Sarzana in Liguria .,"He went to Verona as a guest of Bartolomeo I della Scala , then moved to Sarzana in Liguria .",of is is is the is is is . <end>
328,Unemployment which had been growing through early summer spiked .,"Unemployment , which had been growing through early summer , increased .",<end>
329,The panel recommended that Livingstone be allowed back in the party .,The panel recommended that Livingstone be allowed back in the party .,of is is the is the is of . <end>
330,Intonation and stress are two main elements of linguistic prosody .,Intonation and stress are two main elements of linguistic prosody .,<end>
331,May Fung Yee Pang is best known as the former girlfriend of Beatle John Lennon . She had previously worked as a personal assistant and production coordinator for Lennon and his wife Yoko Ono .,May Pang was a to former Beatle John Lennon and his wife Yoko Ono .,in is is is is of . <end>
332,Finding inner peace is often associated with traditions such as Buddhism and Hinduism .,Finding inner peace is often associated with traditions such as Buddhism and Hinduism .,<end>
333,With the backing of RCE Farah launched her directorial career with the movie Main Hoon Na .,"With the backing of RCE , Farah launched her directorial career with the movie , Main Hoon Na .",in is is the is the is is the is the the is the
334,There are three genera Paralimnoria Limnoria and Lynseia .,"There are three genera , Paralimnoria , Limnoria and Lynseia .",<end>
335,Valbonne is a commune near Nice in the Alpes Maritimes department in the Provence Alpes C ote d Azur region in south eastern France .,Valbonne is a commune . It is found in the region Provence-Alpes-C ôte d'Azur in the Alpes-Maritimes department in the south of France .,of is is is is is is is is is . <end>
336,It is observed from December to January every year .,It takes place from December 26 to January 1 every year .,<end>
337,Parkland is a city in Broward County Florida where zoning laws are designed to protect the parklike character of the city . Initially there were no stores or traffic lights in Parkland though this changed in the early s .,Parkland is a city of Florida in the United States .,in is is is is is is is is is . <end>
338,Rollins retired in and opted to become a coach .,Rollins retired in 1962 and decided to become a coach .,<end>
339,Pazmand is a village in Fejer county Hungary .,Pázmánd .,<end>
340,Related but distinct is the expression memento mori indeed memento mori is often used with some of the sense of carpe diem . However two major elements of memento mori are humility and repentance neither of which figures prominently in the concept of carpe diem .,"To compensate for that there were the concepts of Carpe diem , Vanitas , and Memento mori .",in is is is the first is is is the first is the first
341,He went on to attend Hope College in Holland Michigan and received a Master of Fine Arts from The New School in New York City .,"He also learned at Hope College in Holland , Michigan .",in is is is of of of . <end>
342,A recent edition of his complete poetry is pages long .,A recent edition of his complete poetry is 953 pages long .,<end>
343,In topology two continuous functions from one topological space to another are called homotopic if one can be continuously deformed into the other such a deformation being called a homotopy between the two functions . An outstanding use of homotopy is the definition of homotopy groups and cohomotopy groups important invariants in algebraic topology .,A homotopy is a deformation of one thing into another without cutting it .,in is is is the city of the first is a is a is
344,Lassalle came from a prosperous Jewish family in Loslau later Breslau Prussia his father was a silk merchant and intended his son for a business career sending him to the commercial school at Leipzig .,Lassalle was born in Breslau . His father sent him to a business school in Leipzig .,in is is is of . <end>
345,Jeong was born and also ended his days in modern day Namyangju Gyeonggi province .,"Jeong was born , and and died , in Namyangju , Gyeonggi province .",of is is is is is . <end>
346,Mie Prefecture measures km from north to south and km from east to west and is made up of distinct geographical areas . The north west of Mie consists of the Suzuka Mountains along the coast of Ise Bay from the Aichi border to Ise City is the Ise Plain where most of the population of Mie live south of the Ise Plain is the Shima Peninsula bordering Nara in the central west is the Iga Basin and running from central Mie to its southern borders is the Nunobiki Mountainous Region .,"There are many mountains in the west and south of Mie , with the largest cities in the east , next to Ise Bay .",the first is a city of the united <end>
347,The Triassic Jurassic extinction event wiped them all out except for the plesiosaurs .,The end-Triassic extinction event wiped them all out except for the plesiosaurs .,of is is is the is is . <end>
348,He is shown digging above ground again when a second Taylor rises from the hole .,"Taylor is then seen in casual clothes again outside in the rain digging , when a second Taylor rises from the hole dressed in his Slipknot mask and uniform , and the two see each other as it fades to black .",in is is is the is is is . <end>
349,It was a socialist state and a federation made up of Bosnia and Herzegovina Croatia Macedonia Montenegro Serbia and Slovenia .,"It was a socialist state and a federation made up of Bosnia and Herzegovina , Croatia , Macedonia , Montenegro , Serbia , and Slovenia .",of is is is the is is is . <end>
350,It is the county seat of Northampton County .,It is the county seat of Northampton County .,in is is the the is the is of . <end>
351,The parliament is elected directly every five years except in Bavaria where it is elected every six years .,"The parliament is elected every five years , except in Bavaria where it is elected every six years .",of is is is the is is is . <end>
352,Cake doughnuts are fried for about seconds at approximately C to C turning once .,"Cake doughnuts are fried for about 90 seconds at about 190 C to 198 C , turning once .",of is is is is is . <end>
353,It was speculated that the Final Fantasy VII Compilation would include an enhanced remake of the original Final Fantasy VII for the PlayStation .,Final Fantasy VII is a fantasy role-playing video game for the Playstation .,in is is the is the is of the is the is the is
354,Razvi held views that Hyderabad should eventually join Pakistan in a major war against India as clearly evidenced by some of his speeches and publications in Hyderabadi newspapers .,"Razvi held views that Hyderabad should eventually join Pakistan in a major war against Bharat , as clearly evidenced by some of his speeches and publications in Hyderabadi newspapers .",in is is is of of . <end>
355,Other products include My First Britannica aimed at children ages six to twelve and the Britannica Discovery Library written for children aged three to six .,"Other books are My First Britannica , written for children who are six to twelve years old , and the Britannica Discovery Library , written for children who are three to six years old .",of is is is the is of . <end>
356,Because Kubuntu is Ubuntu with a KDE desktop any version available in Ubuntu is also available for Kubuntu .,"Most of the software used in Kubuntu , is part of the KDE project , but all other software used in Ubuntu can also be used . Because the only difference of Kubuntu and Ubuntu is the default software , you can turn an Ubuntu system into a Kubuntu system , or a Kubuntu system into an Ubuntu system , only by installing some software .",of is is is is is is . <end>
357,Nobunaga s easy victory at Inabayama Castle in was largely due to Hideyoshi s efforts and despite his peasant origins Hideyoshi became one of Nobunaga s most distinguished generals eventually taking the name Hashiba Hideyoshi .,"Hideyoshi came to power after his master , Oda Nobunaga , died . Then Hideyoshi unified Japan .",in is is is of . <end>
358,According to the properties of the material failure will occur as yield for materials with ductile behavior or as rupture for brittle behavior .,Then materials will react with ductile behavior or with fracture in case of brittle materials .,in is is the the is the is and and the is the is
359,He also functions as the Chairman of the New Azerbaijan Party .,He also functions as the head of the New Azerbaijan Party .,in is is the is the is of . <end>
360,John Kiffmeyer was born on July . He was the original drummer for the punk rock alternative rock band Green Day .,"John Kiffmeyer was the original drummer for the punk rock band Green Day , and used to be the drummer for Isocracy .",of is is is the is is is . <end>
361,Apremont is a commune in the Vendee department in the Pays de la Loire region in western France .,Apremont is a commune . It is found in the region Pays de la Loire in the Vendée department in the west of France .,of is is is is is is is is is . <end>
362,Due to this incident Oda was quickly removed from the cast of an upcoming ice show in Japan .,"Due to this incident , Oda was quickly removed from the cast of an upcoming ice show in Japan .",of is is the is the is is the is the is the is
363,The King s Men was the company of actors to which William Shakespeare belonged through most of his career .,The King 's Men was a company of actors to which William Shakespeare belonged through most of his career .,of is is the the is the is and the is the is the
364,This may include for example farms private homes and zoos .,"This may include for example farms , private homes and zoos .",in is is the is the is of . <end>
365,Foxe s prospects and those of the evangelical cause generally improved after the death of Henry VIII in January the accession of Edward VI and the formation of a Privy Council dominated by pro reform Protestants . In the middle or latter part of Foxe moved to London and probably lived in Stepney .,With the death of Henry VIII in January of 1547 Foxe 's prospects changed for the better .,in is is is the first is is is the first is the first
366,Subtropical Storm Nicole from the Atlantic hurricane season was the first subtropical storm that did not become tropical since the policy change .,"But on 2002 , a policy change had tropical and subtropical storms share the same list of names for the whole season , which started with Subtropical Storm Nicole in 2004 .",of is is is the is the is and . <end>
367,On April they returned from EMI and the lawsuit was annulled .,"On the 28 April , they returned from EMI and the lawsuit was annulled .",of is is is the is of . <end>
368,Likewise amicability is an important component of popularity as a person who does not like others is unlikely to be liked by others .,"Likewise , amicability is an important part of popularity , as a person who does not like others is unlikely to be liked by others .",of is is is is is is is . <end>
369,Following a referendum in in which the Scottish people gave their consent the current Parliament was established by the Scotland Act which sets out its powers as a devolved legislature .,"Following a referendum in 1997 in which the Scottish people gave their consent , the current Parliament was established by the Scotland Act 1998 .",in is is is the first is is . <end>
370,McMurray finished second .,James Christopher `` Jamie '' McMurray is an American racecar driver . McMurray drives the # 1 Bass Pro Shops Chevrolet Impala in the NASCAR Sprint cup series .,<end>
371,These people are described in later literature as evil rulers who overthrew the established Tamil kings and got a strangle hold of the country .,These people are described in later literature as ` evil rulers ' who overthrew the established Tamil kings and got a strangle hold of the country .,of is is is the is of . <end>
372,It includes various fields which involve past and current human behavior and interactions such as sociology history political science economics religion geography anthropology and civics .,"By middle and high school , social studies includes many subjects about past and current human behavior and interactions , for example sociology , history , political science , economics , religion , geography , anthropology , and civics .",in is is is of of . <end>
373,In the duct system the lumens formed by intercalated ducts which in turn join to form striated ducts .,"The small tubes go into ducts . Those ducts go into larger ducts that have little stripes on them , called striations .",of is is is the is the is . <end>
374,Following the death of the last captive Leadbeater s Possum at Toronto Zoo in January there are now no Leadbeater s Possums in captivity anywhere in the world and so no breeding program to assist this animal s survival .,"Following the death of the last Leadbeater 's Possum at Healesville Sanctuary Victoria in May 2006 , there are now no Leadbeater 's Possums in captivity anywhere in the world and so no breeding program to assist this animal 's survival .",in was is is the first is is the first is the first .
375,Stone tools were made from a variety of different sorts of stone .,The Stone Age was an ancient time period when people made tools from stone .,of is is is is is . <end>
376,Birrhard is a municipality in the district of Brugg in canton of Aargau in Switzerland .,Birrhard is a municipality of the district Brugg in canton of Aargau in Switzerland .,of is is is is is is is . <end>
377,Les Mujouls is a commune in the Alpes Maritimes department in south eastern France .,Les Mujouls is a commune .,of is is is is is is is is . <end>
378,Its natural habitat is subtropical or tropical dry forests .,Its natural habitat is subtropical or tropical dry forests .,<end>
379,She was an NGO member of the U .S . Delegation to the Asian Regional Initiative Against the Trafficking of Women and Children Manila the Philippines hosted by the governments of the Philippines and the United States .,"She has also been an NGO member of the Official U.S. Delegation to the Asian Regional Initiative Against the Trafficking of Women and Children , Manila , the Philippines , hosted by the governments of the Philippines and the United States .",in is is is the first is is the first is the first .
380,It was released on April .,"It was released on April 4 , 2006 .",in is is the the the is the . <end>
381,On June at the age of he was killed in an automobile accident .,"On June 17 , 1971 , at the age of 24 , he was killed in an automobile accident .",in is is the is the is of . <end>
382,Over a very long time a white dwarf will cool to temperatures at which it will no longer be visible and become a cold black dwarf . However since no white dwarf can be older than the age of the Universe even the oldest white dwarfs still radiate at temperatures of a few thousand kelvins and no black dwarfs are thought to exist yet .,"Eventually , all white dwarfs will cool down into what is called a black dwarf .",the first is is a city of a united <end>
383,The documentary film concert Paths of My Memory by Yerevan Studio is dedicated to the Alexey Ekimyan .,The documentary film-concert `` Paths of My Memory '' by Yerevan Studio is dedicated to the Alexey Ekimyan .,of is is is the is is . <end>
